Namespace,Pod Name,Container Name,SP HttpGet,SP FailureThreshold,SP InitialDelaySeconds,SP PeriodSeconds,SP SuccessThreshold,SP TimeoutSeconds,LP HttpGet,LP FailureThreshold,LP InitialDelaySeconds,LP PeriodSeconds,LP SuccessThreshold,LP TimeoutSeconds,RP HttpGet,RP FailureThreshold,RP InitialDelaySeconds,RP PeriodSeconds,RP SuccessThreshold,RP TimeoutSeconds
ibs-ivv,bip-ibs-fl-data-service-ivv-5bd67f594c-wqrtd,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-fl-data-service-ivv-5bd67f594c-wqrtd,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,bip-ibs-fl-service-ivv-646bdb6849-c87k6,bip-ibs-fl-service, , , , , , ,/app-health/bip-ibs-fl-service/livez,10,90,10,1,5,/app-health/bip-ibs-fl-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-fl-service-ivv-646bdb6849-c87k6,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-fl-service-ivv-646bdb6849-c87k6,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,bip-ibs-icp-data-service-ivv-658cd7c566-pbrzt,bip-ibs-icp-data-service, , , , , , ,/app-health/bip-ibs-icp-data-service/livez,10,90,10,1,5,/app-health/bip-ibs-icp-data-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-icp-data-service-ivv-658cd7c566-pbrzt,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
ibs-ivv,bip-ibs-icp-data-service-ivv-658cd7c566-pbrzt,istio-proxy,/healthz/ready,600, ,1,1,3, , , , , , ,/healthz/ready,4, ,15,1,3
ibs-ivv,bip-ibs-icp-service-ivv-6595cf454-gnpr2,bip-ibs-icp-service, , , , , , ,/app-health/bip-ibs-icp-service/livez,10,90,10,1,5,/app-health/bip-ibs-icp-service/readyz,10,90,10,1,5
ibs-ivv,bip-ibs-icp-service-ivv-6595cf454-gnpr2,jaeger-agent, , , , , , ,/app-health/jaeger-agent/livez,5,5,15,1,1,/app-health/jaeger-agent/readyz,3,1,10,1,1
